run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G01_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G02_out_of_scope_math,False,out_of_scope,,no_tool,,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G03_wrong_boundary_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G04_missing_url,False,missing_info,missing_tool_call,clarify,lookup,False,False,False,missing tool call clarify; extra tool call lookup
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G05_wrong_arg_lookup,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G06_multiturn_clarify_handle_timeline,True,wrong_tool,,timeline,timeline,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G07_multiturn_clarify_url_fetch,True,wrong_arg_value,,fetch,fetch,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G08_multiturn_confirm_send_yes,True,wrong_boundary,,send,send,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G09_multiturn_confirm_send_no,True,wrong_boundary,,no_tool,,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G10_multiturn_unnecessary_tool_after_math,True,unnecessary_tool,,no_tool,,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G01_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G02_out_of_scope_math,False,out_of_scope,,no_tool,,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G03_wrong_boundary_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G04_missing_url,False,missing_info,missing_tool_call,clarify,lookup,False,False,False,missing tool call clarify; extra tool call lookup
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G05_wrong_arg_lookup,False,wrong_arg_value,,lookup,lookup,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G06_multiturn_clarify_handle_timeline,True,wrong_tool,,timeline,timeline,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G07_multiturn_clarify_url_fetch,True,wrong_arg_value,,fetch,fetch,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G08_multiturn_confirm_send_yes,True,wrong_boundary,,send,send,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G09_multiturn_confirm_send_no,True,wrong_boundary,,no_tool,,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G10_multiturn_unnecessary_tool_after_math,True,unnecessary_tool,,no_tool,,True,True,True,
